Participant	QN	Neologism	Condition	Figure	Regularity	Pattern	Score	Unknown	Age
Suj04	11Q04	barman	1	Metaphor	Low	P11	2	NA	19
Suj04	11Q05	pompier	1	Metaphor	Low	P11	1	NA	19
Suj04	11Q06	majordome	1	Metaphor	Low	P11	NA	NA	19
Suj04	11Q07	acrobate	1	Metaphor	Low	P11	NA	NA	19
Suj04	11Q08	arbitre	1	Metaphor	Low	P11	NA	NA	19
Suj04	11Q09	infirmier	1	Metaphor	Low	P11	NA	NA	19
Suj04	11Q10	troubadour	1	Metaphor	Low	P11	NA	NA	19
Suj04	12Q01	pistache	1	Metaphor	Low	P12	4	NA	19
Suj04	12Q02	orange	1	Metaphor	Low	P12	1	NA	19
Suj04	12Q03	cacahuete	1	Metaphor	Low	P12	2	NA	19
Suj04	12Q04	abricot	1	Metaphor	Low	P12	4	NA	19
Suj04	12Q05	olive	1	Metaphor	Low	P12	2	NA	19
Suj04	12Q06	cerise	1	Metaphor	Low	P12	NA	NA	19
Suj04	12Q07	haricot	1	Metaphor	Low	P12	NA	NA	19
Suj04	12Q08	datte	1	Metaphor	Low	P12	NA	NA	19
Suj04	12Q09	pasteque	1	Metaphor	Low	P12	NA	NA	19
Suj04	12Q10	escalope	1	Metaphor	Low	P12	NA	NA	19
Suj04	13Q01	chrysalide	1	Metaphor	Low	P13	7	NA	19
Suj04	13Q02	sapin	1	Metaphor	Low	P13	5	NA	19
Suj04	13Q03	colline	1	Metaphor	Low	P13	5	NA	19
Suj04	13Q04	grotte	1	Metaphor	Low	P13	5	NA	19
Suj04	13Q05	cratere	1	Metaphor	Low	P13	5	NA	19
Suj04	13Q06	dune	1	Metaphor	Low	P13	NA	NA	19
Suj04	13Q07	falaise	1	Metaphor	Low	P13	NA	NA	19
